fill_number,first_run_number,last_run_number,duration,start_time,start_stable_beam,end_time,delivered_lumi,recorded_lumi,efficiency_time,efficiency_lumi,peak_lumi,peak_pileup,fill_type_runtime,bunches_colliding,beta_star,energy,injection_scheme
6998,320489,320500,8458,2018-07-29 22:27:27,2018-07-30 08:27:50,2018-07-30 10:54:07,0.036224,0.033118,100.0,91.425,4.95E-4,35.198765,PROTONS,1,30.0,6499.2,Single_3b_1_1_1_1nc
7003,320563,320660,17310,2018-07-31 00:22:11,2018-07-31 02:21:31,2018-07-31 22:10:55,0.162932,0.155751,98.805,95.592,0.001176,41.819214,PROTONS,2,30.0,6499.2,Single_3b_2_2_2
7005,320666,320675,34986,2018-08-01 00:08:38,2018-08-01 02:31:57,2018-08-01 12:22:00,98.904867,96.708375,99.662,97.779,0.395643,45.987846,PROTONS,612,30.0,6499.32,25ns_624b_612_376_472_36bpi_18inj
7006,320676,320688,14029,2018-08-01 12:22:00,2018-08-01 15:23:09,2018-08-01 19:24:24,156.31675,151.076031,100.0,96.647,1.320626,39.159763,PROTONS,2400,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7008,320705,320712,4822,2018-08-01 21:45:31,2018-08-02 02:43:57,2018-08-02 04:11:17,69.475672,67.039211,100.0,96.493,1.610821,45.060036,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7013,320746,320757,7832,2018-08-02 12:13:48,2018-08-02 14:36:44,2018-08-02 16:54:30,116.857844,112.640109,100.0,96.391,1.747598,48.886127,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7017,320799,320809,47164,2018-08-03 05:27:21,2018-08-03 07:26:54,2018-08-03 20:40:27,432.565125,410.346688,97.56,94.864,1.589193,44.455013,PROTONS,2546,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7018,320810,320824,49927,2018-08-03 20:40:27,2018-08-03 23:56:39,2018-08-04 13:53:48,452.571281,434.992281,99.269,96.116,1.593004,44.561619,PROTONS,2541,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7020,320838,320841,22538,2018-08-04 15:53:22,2018-08-04 17:30:13,2018-08-04 23:51:53,290.402813,271.484469,97.185,93.485,1.814334,50.752979,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7024,320853,320859,41438,2018-08-05 05:26:16,2018-08-05 06:47:10,2018-08-05 18:33:25,441.833969,414.725938,96.782,93.865,1.751347,48.991024,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7026,320875,320888,9486,2018-08-05 20:00:11,2018-08-05 22:37:41,2018-08-06 01:21:09,148.129125,141.466656,99.023,95.502,1.849058,51.724312,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7031,320907,320920,50155,2018-08-06 07:48:39,2018-08-06 09:11:32,2018-08-06 23:13:41,506.549188,485.783625,99.584,95.901,1.690839,47.334831,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7033,320933,320941,35384,2018-08-07 01:27:58,2018-08-07 03:28:26,2018-08-07 13:24:08,357.565969,340.560594,98.237,95.244,1.414646,39.57235,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7035,320971,320980,2388,2018-08-07 14:34:34,2018-08-07 15:51:29,2018-08-07 16:37:33,38.991867,37.685207,100.0,96.649,1.866396,52.209312,PROTONS,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7036,320983,320996,13449,2018-08-07 16:37:33,2018-08-07 19:28:01,2018-08-07 23:18:13,78.040563,72.491125,96.137,92.889,0.710888,51.919762,PROTONS,974,30.0,6499.2,25ns_987b_974_878_917_144bpi_13inj
7037,320998,321012,48606,2018-08-07 23:18:13,2018-08-08 01:46:40,2018-08-08 15:24:17,453.684281,421.627281,96.435,92.934,1.631455,45.63723,PROTONS,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7039,321050,321055,44134,2018-08-08 23:58:05,2018-08-09 03:16:49,2018-08-09 15:37:30,473.820938,451.382656,98.245,95.264,1.771565,49.556572,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7040,321058,321069,38121,2018-08-09 15:37:30,2018-08-09 18:20:41,2018-08-10 05:03:42,395.401344,379.199031,98.737,95.902,1.596454,44.658142,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7042,321085,321126,47146,2018-08-10 09:30:05,2018-08-10 15:11:43,2018-08-11 04:22:45,514.487813,469.031906,94.4,91.165,1.807725,50.5681,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7043,321127,321140,39403,2018-08-11 04:22:45,2018-08-11 08:38:40,2018-08-11 19:41:56,314.609875,274.950375,92.222,87.394,1.214689,34.005638,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7045,321146,321149,39903,2018-08-11 20:59:48,2018-08-11 22:24:56,2018-08-12 09:37:44,458.406,444.911438,100.0,97.056,1.841927,51.52483,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7047,321155,321169,26230,2018-08-12 12:11:59,2018-08-12 14:32:32,2018-08-12 22:23:22,371.768094,323.094938,91.949,86.908,1.956768,54.737312,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7048,321171,321181,13624,2018-08-12 22:23:22,2018-08-13 03:39:08,2018-08-13 07:54:05,214.589219,199.814797,95.329,93.115,1.959896,54.824821,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7052,321218,321221,44177,2018-08-13 10:40:47,2018-08-13 12:12:40,2018-08-14 00:35:13,500.254688,479.023125,98.727,95.756,1.869646,52.300228,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7053,321222,321246,21479,2018-08-14 00:35:13,2018-08-14 03:32:38,2018-08-14 10:14:32,322.853719,280.41975,96.817,86.857,1.978055,55.332787,PROTONS,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7054,321249,321262,695,2018-08-14 10:14:32,2018-08-14 12:40:20,2018-08-14 12:58:02,10.007037,6.986117,71.427,69.812,1.966675,55.014446,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7055,321263,321296,29836,2018-08-14 12:58:02,2018-08-14 15:04:44,2018-08-14 23:27:38,411.590031,364.811313,92.856,88.635,2.014309,56.34692,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7056,321297,321313,95765,2018-08-14 23:27:38,2018-08-15 02:01:20,2018-08-16 04:43:27,754.0345,719.063625,97.118,95.362,1.97009,55.109974,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7058,321375,321397,48172,2018-08-16 15:03:57,2018-08-17 05:07:19,2018-08-17 18:40:47,523.360656,477.719188,95.843,91.279,1.889613,52.858784,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7061,321409,321415,51089,2018-08-17 19:58:38,2018-08-17 21:13:14,2018-08-18 11:29:39,572.172563,549.903438,99.44,96.108,1.970371,55.117836,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7063,321427,321436,39973,2018-08-18 12:37:52,2018-08-18 13:50:33,2018-08-19 01:10:56,472.637281,442.749438,97.286,93.676,1.891819,52.920467,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7065,321451,321461,46849,2018-08-19 05:14:05,2018-08-19 07:37:02,2018-08-19 20:42:46,535.4105,513.756625,99.455,95.956,1.964801,54.962021,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7069,321475,321475,47683,2018-08-19 23:13:20,2018-08-20 01:29:38,2018-08-20 14:50:14,500.686719,483.381813,100.0,96.544,1.78393,49.90247,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7078,321709,321712,7611,2018-08-23 11:45:23,2018-08-23 13:17:51,2018-08-23 15:29:49,117.096055,108.830031,96.477,92.941,1.759326,49.214203,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7080,321724,321735,44423,2018-08-23 18:24:49,2018-08-23 21:10:03,2018-08-24 09:37:19,523.558906,489.323875,97.859,93.461,1.943122,54.35561,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7083,321753,321760,41354,2018-08-24 12:20:22,2018-08-24 13:48:00,2018-08-25 01:24:56,446.2105,423.599969,97.933,94.933,1.727738,48.330601,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7087,321772,321781,46325,2018-08-25 10:50:48,2018-08-25 12:10:51,2018-08-26 01:08:23,518.117344,479.447531,97.349,92.536,1.902156,53.209644,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7088,321782,321796,4708,2018-08-26 01:08:23,2018-08-26 03:25:54,2018-08-26 04:49:45,80.008852,67.342328,91.723,84.169,1.906598,53.3339,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7090,321813,321820,45424,2018-08-26 07:53:15,2018-08-26 09:14:38,2018-08-26 21:56:24,520.6535,475.35625,96.424,91.3,1.901829,53.200485,PROTONS,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7091,321822,321837,47292,2018-08-26 21:56:24,2018-08-27 00:09:08,2018-08-27 13:30:36,527.00275,497.501125,98.047,94.402,1.882884,52.670528,PROTONS,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7092,321839,321881,10596,2018-08-27 13:30:36,2018-08-27 17:56:29,2018-08-27 22:21:09,162.500047,150.430047,96.268,92.572,1.812783,50.709579,PROTONS,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
